time_stretch,pitch_shift,source
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
1.004,down_0_5,1
