time_stretch,pitch_shift,source
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
1.0,center,0
