time_stretch,pitch_shift,source
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
0.957,up_1,1
