model,file,label,duration_sec,median_hz,mean_hz,std_hz,pitch_std_semitones,voiced_frames,target_shift,estimated_shift,shift_error,abs_shift_error,onset_rms_ratio,onset_centroid_ratio,onset_flatness_ratio,onset_high_band_ratio,params
continuous,continuous_down_1.wav,down_1,1.8933333333333333,622.9927591501477,620.4715002139045,6.641642011274041,0.18699681939169727,89,-1.0,-1.041135969381405,-0.04113596938140507,0.04113596938140507,4.437605788486447,2.4058349546728737,29.651253796659045,3.9978968801481423,"{""pitch_shift"": -1.0}"
continuous,continuous_down_0_5.wav,down_0_5,1.8933333333333333,632.2578315972896,633.8574324653251,10.371984810223191,0.2822746343272645,89,-0.5,-0.7855646866166757,-0.28556468661667567,0.28556468661667567,4.32604271956268,2.2895637273785123,43.486617335374774,3.9463482810827566,"{""pitch_shift"": -0.5}"
continuous,continuous_center.wav,center,1.8933333333333333,661.6080214666657,647.8739386624721,34.025969057542056,0.9580545590621798,89,0.0,0.0,0.0,0.0,2.521803447315721,1.6919257697872276,21.67767430328466,2.7208820526037867,"{""pitch_shift"": 0.0}"
continuous,continuous_up_0_5.wav,up_0_5,1.8933333333333333,667.2764362831957,669.8174362763665,9.692504169520248,0.24734264630532055,89,0.5,0.14769398792451455,-0.35230601207548545,0.35230601207548545,5.949273019766335,2.3160059354625626,15.44230160276444,2.9700470845657407,"{""pitch_shift"": 0.5}"
continuous,continuous_up_1.wav,up_1,1.8933333333333333,695.7871704572314,687.1466392442067,51.981970356001284,1.7878405523605236,89,1.0,0.8720322164758852,-0.12796778352411475,0.12796778352411475,3.6241950244532433,2.5631936973460823,42.401892519572705,4.649234131859747,"{""pitch_shift"": 1.0}"
continuous,continuous_interp_up_0_25.wav,up_0_25,1.8933333333333333,673.1677356017593,673.76938252655,10.259418870148606,0.2622963475915838,89,0.25,0.2998716594565033,0.04987165945650329,0.04987165945650329,3.5411275570801615,2.36834199180329,47.71348625852541,4.01850416723583,"{""pitch_shift"": 0.25}"
continuous,continuous_interp_up_0_75.wav,up_0_75,1.8933333333333333,691.5546264571535,682.8394443795485,20.483556768752276,0.5337960692478873,89,0.75,0.766397872620143,0.016397872620143028,0.016397872620143028,3.446149674997393,1.060912637840236,4.025327091965542,0.879274165333097,"{""pitch_shift"": 0.75}"
categorical,categorical_down_1.wav,down_1,1.8933333333333333,622.1283793808378,603.7925368478008,100.22600224565076,6.949109977115555,89,-1.0,-0.585397342719964,0.414602657280036,0.414602657280036,2.1334366010179244,2.630230891915774,23.476932916698388,4.145881626003437,"{""pitch_shift_down_1"": 1.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_down_0_5.wav,down_0_5,1.8933333333333333,640.9323166862806,621.1971693614951,100.51807784952149,6.285634039043904,89,-0.5,-0.06988099362806934,0.4301190063719307,0.4301190063719307,4.184772941517279,1.8118354671609325,18.558887814927882,2.31784116911534,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 1.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_center.wav,center,1.8933333333333333,643.5246584864593,631.560358368147,36.53996684447737,1.0507400917025134,89,0.0,0.0,0.0,0.0,2.335761335441585,2.0357771490395216,25.625218688362615,3.870474446304477,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 1.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_up_0_5.wav,up_0_5,1.8933333333333333,659.2442900499034,660.9524966517654,13.693341813056367,0.35735500459283237,89,0.5,0.4178128795017472,-0.08218712049825277,0.08218712049825277,2.6939176775366622,2.082418472172182,24.05138906523046,3.014801418824035,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 1.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_up_1.wav,up_1,1.8933333333333333,697.2906199764938,673.7416775395509,111.19237709966774,6.74866587601888,89,1.0,1.3891757278530847,0.38917572785308474,0.38917572785308474,3.017370078371842,2.3298177120298424,33.59958475796744,4.3073976349334915,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 1.0}"
