model,file,label,duration_sec,median_hz,mean_hz,std_hz,pitch_std_semitones,voiced_frames,target_shift,estimated_shift,shift_error,abs_shift_error,onset_rms_ratio,onset_centroid_ratio,onset_flatness_ratio,onset_high_band_ratio,params
continuous,continuous_down_1.wav,down_1,3.0,622.8387745480115,619.6692267027547,9.19868828275054,0.261453074087823,141,-1.0,-1.0542578097159865,-0.05425780971598648,0.05425780971598648,5.479430768485857,2.613917783617432,26.787512043151573,3.297727491060245,"{""pitch_shift"": -1.0}"
continuous,continuous_down_0_5.wav,down_0_5,3.0,625.9054921654197,630.494044270977,11.55474208259,0.31484364069315235,141,-0.5,-0.9692249207051475,-0.46922492070514754,0.46922492070514754,4.030180340080839,1.9644782681699051,30.20457104988059,2.696392993602719,"{""pitch_shift"": -0.5}"
continuous,continuous_center.wav,center,3.0,661.9460224186162,644.3625567148176,43.90454343835984,1.2561338408448843,141,0.0,0.0,0.0,0.0,1.9335396607217676,2.3527081909739698,44.80833209042166,3.9176730691048394,"{""pitch_shift"": 0.0}"
continuous,continuous_up_0_5.wav,up_0_5,3.0,665.6181757849963,666.9868165440412,8.931384952521492,0.22908586749810889,141,0.5,0.09577500152218527,-0.40422499847781473,0.40422499847781473,8.976416775740454,2.275242791533974,10.87308011066136,2.8548840224371914,"{""pitch_shift"": 0.5}"
continuous,continuous_up_1.wav,up_1,3.0,695.1028544421374,688.7255532001353,31.5363917749392,1.0531907716605495,141,1.0,0.8461546841691907,-0.1538453158308093,0.1538453158308093,1.6904969070769582,2.673009208914779,41.947269005279985,5.320119010678799,"{""pitch_shift"": 1.0}"
continuous,continuous_interp_up_0_25.wav,up_0_25,3.0,661.7829283991466,663.426055758945,9.593052960550677,0.24674582849095567,141,0.25,-0.00426603831485526,-0.2542660383148553,0.2542660383148553,5.847359307165126,2.0633380247801876,15.65662131428219,3.301458966830709,"{""pitch_shift"": 0.25}"
continuous,continuous_interp_up_0_75.wav,up_0_75,3.0,679.6209899838146,664.397667002702,92.65320978467517,5.280410379741338,141,0.75,0.4562019790987601,-0.2937980209012399,0.2937980209012399,3.1518282063776093,1.0779876011598615,3.5038130469083475,0.9686910050561969,"{""pitch_shift"": 0.75}"
categorical,categorical_down_1.wav,down_1,3.0,621.1574967312187,606.9564952929047,79.29322367577159,5.371421420654749,141,-1.0,-0.9434287026469849,0.05657129735301514,0.05657129735301514,1.5700605323695813,2.898315718742606,56.51607189283266,5.7405372503338015,"{""pitch_shift_down_1"": 1.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_down_0_5.wav,down_0_5,3.0,623.3988541531041,614.8976423080093,78.72589220182188,4.985939486683982,141,-0.5,-0.8810720487724817,-0.3810720487724817,0.3810720487724817,3.946965205179169,1.7417073420997473,20.7524094626129,2.930361610238764,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 1.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_center.wav,center,3.0,655.9465103227749,637.9916074794046,65.95839034280723,2.9674273138907155,141,0.0,0.0,0.0,0.0,2.009704005060381,2.3152462007054133,50.46068558405084,4.98759356737666,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 1.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_up_0_5.wav,up_0_5,3.0,659.872195964402,657.5474479931315,20.275584901213634,0.5318319040349151,141,0.5,0.10330147733759479,-0.39669852266240524,0.39669852266240524,2.426442994453119,2.329702992938706,29.083763046734177,3.6941210917948504,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 1.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_up_1.wav,up_1,3.0,679.5012799142846,672.7322857777616,72.31103490869425,4.3930449711009505,141,1.0,0.6107771344378735,-0.3892228655621265,0.3892228655621265,3.8177435425075035,2.845945874437225,50.30754131022243,4.256571132167909,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 1.0}"
