model,file,label,duration_sec,median_hz,mean_hz,std_hz,pitch_std_semitones,voiced_frames,target_shift,estimated_shift,shift_error,abs_shift_error,onset_rms_ratio,onset_centroid_ratio,onset_flatness_ratio,onset_high_band_ratio,params
continuous,continuous_down_1.wav,down_1,1.8933333333333333,607.5009136960364,602.084904311526,56.45999981204388,3.688626404713286,89,-1.0,-0.564341752866163,0.43565824713383705,0.43565824713383705,3.0918275125505676,2.5078965619004405,49.00288931999735,3.3885004725418035,"{""pitch_shift"": -1.0}"
continuous,continuous_down_0_5.wav,down_0_5,1.8933333333333333,625.4535172154463,626.9411919933426,8.422756916053645,0.23219822388533837,89,-0.5,-0.06014866284036425,0.43985133715963576,0.43985133715963576,4.363400682727244,2.6027386872160645,62.08594610692278,4.364817032721521,"{""pitch_shift"": -0.5}"
continuous,continuous_center.wav,center,1.8933333333333333,627.6303240343162,603.9470482064112,53.12016713710081,1.5948208960323222,89,0.0,0.0,0.0,0.0,1.8973840069687347,2.533767184635272,57.42068523657898,3.148077939104137,"{""pitch_shift"": 0.0}"
continuous,continuous_up_0_5.wav,up_0_5,1.8933333333333333,670.7302263752175,664.8684638281433,63.251357226569404,4.0077999258485955,89,0.5,1.149810725023784,0.6498107250237839,0.6498107250237839,3.0358852833399324,2.562760134923524,66.5988142932565,4.589948219954914,"{""pitch_shift"": 0.5}"
continuous,continuous_up_1.wav,up_1,1.8933333333333333,699.348600406434,684.5985346676447,94.00924337660581,6.0962963166410296,89,1.0,1.8731605090671626,0.8731605090671626,0.8731605090671626,2.8742265283658237,2.5959612612678993,73.66178378692925,3.8524302820370093,"{""pitch_shift"": 1.0}"
continuous,continuous_interp_up_0_25.wav,up_0_25,1.8933333333333333,668.9753146112705,663.3911987969007,63.816050995277216,4.1831292469868595,89,0.25,1.1044550159723028,0.8544550159723028,0.8544550159723028,3.5591835030343413,2.151104858724477,37.30599704708892,2.9717907254590776,"{""pitch_shift"": 0.25}"
continuous,continuous_interp_up_0_75.wav,up_0_75,1.8933333333333333,612.593013936424,628.8249119942183,32.975319896124084,0.8895590243430669,89,0.75,-0.41983372274089936,-1.1698337227408993,1.1698337227408993,2.08261725066406,1.2553625039831597,8.39006870596008,1.136936428706696,"{""pitch_shift"": 0.75}"
categorical,categorical_down_1.wav,down_1,1.8933333333333333,621.0433572217767,580.9625873570211,101.9287637762142,6.921534445557386,89,-1.0,-0.05845628267485105,0.941543717325149,0.941543717325149,1.4864393268981317,3.0182023678407512,22.55784081984117,5.954812248390613,"{""pitch_shift_down_1"": 1.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_down_0_5.wav,down_0_5,1.8933333333333333,641.7874420505233,637.7045964338394,11.837597702088656,0.32336008703714053,89,-0.5,0.510362544017752,1.010362544017752,1.010362544017752,3.7127886393270546,1.6230096168890957,16.017880935999735,1.798293363633091,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 1.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_center.wav,center,1.8933333333333333,623.1438962195381,608.2385136070584,35.60472301369747,1.0730949130871006,89,0.0,0.0,0.0,0.0,2.5251424360788453,2.6327417001163296,61.703827362806926,4.0199984222425345,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 1.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_up_0_5.wav,up_0_5,1.8933333333333333,667.7742157495745,669.5932243831169,7.769127563658779,0.19852265706759556,89,0.5,1.1975404840604083,0.6975404840604083,0.6975404840604083,4.5415345825137745,2.0594961534543206,23.43664630141759,3.171392392528255,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 1.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_up_1.wav,up_1,1.8933333333333333,700.9456230932025,701.4939255253651,5.140813652322158,0.12546493935692954,89,1.0,2.036846170557849,1.036846170557849,1.036846170557849,2.28006089912914,2.6353430868387,79.2353842887538,5.247930313271526,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 1.0}"
