model,file,duration_sec,median_hz,mean_hz,std_hz,voiced_frames,params
continuous,continuous_down_1.wav,1.9,607.5009136960364,602.084904311526,56.45999981204388,89,"{""pitch_shift"": -1.0}"
continuous,continuous_down_0_5.wav,1.9,625.4535172154463,626.9411919933426,8.422756916053645,89,"{""pitch_shift"": -0.5}"
continuous,continuous_center.wav,1.9,627.6303240343162,603.9470482064112,53.12016713710081,89,"{""pitch_shift"": 0.0}"
continuous,continuous_up_0_5.wav,1.9,670.7302263752175,664.8684638281433,63.251357226569404,89,"{""pitch_shift"": 0.5}"
continuous,continuous_up_1.wav,1.9,699.348600406434,684.5985346676447,94.00924337660581,89,"{""pitch_shift"": 1.0}"
continuous,continuous_interp_up_0_25.wav,1.9,668.9753146112705,663.3911987969007,63.816050995277216,89,"{""pitch_shift"": 0.25}"
continuous,continuous_interp_up_0_75.wav,1.9,612.593013936424,628.8249119942183,32.975319896124084,89,"{""pitch_shift"": 0.75}"
categorical,categorical_down_1.wav,1.9,621.0433572217767,580.9625873570211,101.9287637762142,89,"{""pitch_shift_down_1"": 1.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_down_0_5.wav,1.9,641.7874420505233,637.7045964338394,11.837597702088656,89,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 1.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_center.wav,1.9,623.1438962195381,608.2385136070584,35.60472301369747,89,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 1.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_up_0_5.wav,1.9,667.7742157495745,669.5932243831169,7.769127563658779,89,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 1.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_up_1.wav,1.9,700.9456230932025,701.4939255253651,5.140813652322158,89,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 1.0}"
