model,file,label,duration_sec,median_hz,mean_hz,std_hz,pitch_std_semitones,voiced_frames,target_shift,estimated_shift,shift_error,abs_shift_error,onset_rms_ratio,onset_centroid_ratio,onset_flatness_ratio,onset_high_band_ratio,params
continuous,continuous_down_1.wav,down_1,1.8933333333333333,623.0697299641612,618.5063813301769,10.879720295455735,0.3096512939410562,89,-1.0,-1.0855094337321047,-0.08550943373210473,0.08550943373210473,5.479430768485857,2.613917783617432,26.787512043151573,3.297727491060245,"{""pitch_shift"": -1.0}"
continuous,continuous_down_0_5.wav,down_0_5,1.8933333333333333,629.2324308701463,633.7992841923774,12.92166798062279,0.35158135398803275,89,-0.5,-0.9151166307386078,-0.41511663073860783,0.41511663073860783,4.030180340080839,1.9644782681699051,30.20457104988059,2.696392993602719,"{""pitch_shift"": -0.5}"
continuous,continuous_center.wav,center,1.8933333333333333,663.3879234033916,634.5754122718257,52.832853026840944,1.5091391361931352,89,0.0,0.0,0.0,0.0,1.9335396607217676,2.3527081909739698,44.80833209042166,3.9176730691048394,"{""pitch_shift"": 0.0}"
continuous,continuous_up_0_5.wav,up_0_5,1.8933333333333333,665.0443539569035,665.8467715609873,9.253816408779736,0.2365647895521178,89,0.5,0.0431737546463041,-0.45682624535369587,0.45682624535369587,8.976416775740454,2.275242791533974,10.87308011066136,2.8548840224371914,"{""pitch_shift"": 0.5}"
continuous,continuous_up_1.wav,up_1,1.8933333333333333,692.8854803061647,683.7717492612628,38.74066735821034,1.303761977898891,89,1.0,0.753170104451321,-0.24682989554867896,0.24682989554867896,1.6904969070769582,2.673009208914779,41.947269005279985,5.320119010678799,"{""pitch_shift"": 1.0}"
continuous,continuous_interp_up_0_25.wav,up_0_25,1.8933333333333333,661.7914036040456,664.4329510827446,10.679514231866946,0.273519618805357,89,0.25,-0.041714366011369644,-0.29171436601136963,0.29171436601136963,5.847359307165126,2.0633380247801876,15.65662131428219,3.301458966830709,"{""pitch_shift"": 0.25}"
continuous,continuous_interp_up_0_75.wav,up_0_75,1.8933333333333333,679.2214777808509,654.7961622945959,115.3024105773989,6.588239602709872,89,0.75,0.40835196473394686,-0.34164803526605314,0.34164803526605314,3.1518282063776093,1.0779876011598615,3.5038130469083475,0.9686910050561969,"{""pitch_shift"": 0.75}"
categorical,categorical_down_1.wav,down_1,1.8933333333333333,621.2059472087992,599.7673811499593,98.98784178551854,6.714417005436804,89,-1.0,-0.9566893515628057,0.04331064843719434,0.04331064843719434,1.5700605323695813,2.898315718742606,56.51607189283266,5.7405372503338015,"{""pitch_shift_down_1"": 1.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_down_0_5.wav,down_0_5,1.8933333333333333,622.6836741743164,608.2163525948498,98.22786367290557,6.232986867578724,89,-0.5,-0.9155555982543075,-0.41555559825430755,0.41555559825430755,3.946965205179169,1.7417073420997473,20.7524094626129,2.930361610238764,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 1.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_center.wav,center,1.8933333333333333,656.5003381767452,628.0138504143456,81.06498409561442,3.6800780919883245,89,0.0,0.0,0.0,0.0,2.009704005060381,2.3152462007054133,50.46068558405084,4.98759356737666,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 1.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_up_0_5.wav,up_0_5,1.8933333333333333,664.3332344776593,665.1713904455322,20.466034613960705,0.5352561005506825,89,0.5,0.20533602460601996,-0.29466397539398004,0.29466397539398004,2.426442994453119,2.329702992938706,29.083763046734177,3.6941210917948504,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 1.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_up_1.wav,up_1,1.8933333333333333,681.0198357793766,669.3423645104499,90.28584371759045,5.506031668605245,89,1.0,0.6348127841178454,-0.36518721588215464,0.36518721588215464,3.8177435425075035,2.845945874437225,50.30754131022243,4.256571132167909,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 1.0}"
