model,file,label,duration_sec,median_hz,mean_hz,std_hz,pitch_std_semitones,voiced_frames,target_shift,estimated_shift,shift_error,abs_shift_error,onset_rms_ratio,onset_centroid_ratio,onset_flatness_ratio,onset_high_band_ratio,params
continuous,continuous_down_1.wav,down_1,3.0,622.4436204588523,589.8417979767561,83.68770985168524,4.070178894516223,141,-1.0,-0.963088891381992,0.03691110861800795,0.03691110861800795,1.3539401834185525,1.9055055862241286,9.482078029743512,1.71805233529497,"{""pitch_shift"": -1.0}"
continuous,continuous_down_0_5.wav,down_0_5,3.0,623.6570954916837,594.9106858322197,79.26574318778819,4.531807713444457,141,-0.5,-0.9293707507578837,-0.42937075075788367,0.42937075075788367,1.4702542208298275,2.377285666560512,32.944970874886536,2.4611497747778093,"{""pitch_shift"": -0.5}"
continuous,continuous_center.wav,center,3.0,658.0515360354949,617.7228569990518,95.8723560035915,5.54786350589939,141,0.0,0.0,0.0,0.0,1.8004457055321386,1.343379648421606,5.409566726526046,1.3002644696948087,"{""pitch_shift"": 0.0}"
continuous,continuous_up_0_5.wav,up_0_5,3.0,662.6825273855274,661.9002904128781,13.682790877879624,0.36309040403430126,141,0.5,0.12140767752164718,-0.37859232247835284,0.37859232247835284,4.354111449766169,2.0415963901990364,22.978218006776416,2.620502305632361,"{""pitch_shift"": 0.5}"
continuous,continuous_up_1.wav,up_1,3.0,678.2979736582772,659.59226527026,43.55057934036979,1.1985358533015191,141,1.0,0.5246232993053959,-0.47537670069460414,0.47537670069460414,1.8820398081235599,2.8764935755668573,101.86504533457162,5.667757711025142,"{""pitch_shift"": 1.0}"
continuous,continuous_interp_up_0_25.wav,up_0_25,3.0,661.7622791830095,656.2750652386284,20.31355808030917,0.5481378351999358,141,0.25,0.09734981916063742,-0.15265018083936258,0.15265018083936258,1.9704907694546745,2.3540301571311835,30.586445819103876,3.6112205407385636,"{""pitch_shift"": 0.25}"
continuous,continuous_interp_up_0_75.wav,up_0_75,3.0,692.0650560044533,690.1162821869545,7.013712721769573,0.17688375558573102,141,0.75,0.8724850423471486,0.12248504234714863,0.12248504234714863,4.464376738484611,1.8880565108499447,20.979075396561907,2.3947494538867007,"{""pitch_shift"": 0.75}"
categorical,categorical_down_1.wav,down_1,3.0,621.4156159189787,595.6056795641338,74.02714175446289,4.517672663168293,141,-1.0,-0.9294519674287305,0.07054803257126951,0.07054803257126951,1.7394839381810048,3.0839805465334993,31.96154462494365,4.171289549931764,"{""pitch_shift_down_1"": 1.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_down_0_5.wav,down_0_5,3.0,632.6863449182651,630.0499136615,50.508857944622775,3.4503433740790093,141,-0.5,-0.6182684152569797,-0.11826841525697973,0.11826841525697973,1.9467753610504541,2.793091807052752,52.566608958019664,4.307247967881929,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 1.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_center.wav,center,3.0,655.6895157587091,634.521176590023,44.017696350369334,1.2798103051461998,141,0.0,0.0,0.0,0.0,1.706213873341124,2.4060764542525153,32.76135475721867,3.823280940168064,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 1.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_up_0_5.wav,up_0_5,3.0,667.5708172958958,671.747005900288,11.99703231193236,0.30680565342290844,141,0.5,0.3108967455690929,-0.1891032544309071,0.1891032544309071,1.440043520437555,2.2912397614915028,29.779236210511634,4.603340049133052,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 1.0, ""pitch_shift_up_1"": 0.0}"
categorical,categorical_up_1.wav,up_1,3.0,682.2407916462294,681.4643661125219,13.033170551761955,0.33136628431039394,141,1.0,0.687218284696844,-0.312781715303156,0.312781715303156,3.9555974570001955,2.306947172768627,24.105446652986995,2.9954979850457217,"{""pitch_shift_down_1"": 0.0, ""pitch_shift_down_0_5"": 0.0, ""pitch_shift_center"": 0.0, ""pitch_shift_up_0_5"": 0.0, ""pitch_shift_up_1"": 1.0}"
